inquiry_id,department,inquiry_type,channel,student_type,quarter,month,day_of_week,time_slot,staff_member,wait_time_min,service_time_min,resolution,escalated,callback_required,satisfaction_score
10001,Registrar,Add/Drop,Phone,Undergraduate,Spring 2025,Apr,Tuesday,2-4 PM,Staff A,7.9,21.0,Escalated to Department,Yes,No,3.8
10002,General Inquiry,Complaint,Email,Undergraduate,Fall 2024,Oct,Thursday,12-2 PM,Staff F,10.8,3.6,Referred to Another Office,No,No,3.7
10003,Student Business Services,1098-T,Walk-In,Graduate,Summer 2025,Jul,Thursday,10-12 PM,Staff G,11.5,15.8,Escalated to Department,Yes,No,3.2
10004,Student Business Services,Payment Plan,Phone,Undergraduate,Spring 2025,Apr,Wednesday,8-10 AM,Staff A,14.0,12.8,Resolved on First Contact,No,No,4.5
10005,Financial Aid,Loan Questions,Phone,Graduate,Fall 2024,Sep,Tuesday,12-2 PM,Staff H,8.6,20.1,Resolved on First Contact,No,No,4.4
10006,Financial Aid,Award Letter,Email,Parent/Guardian,Summer 2025,Jul,Wednesday,12-2 PM,Staff B,11.1,12.0,Resolved on First Contact,No,No,3.6
10007,Financial Aid,Award Letter,Virtual Appointment,Graduate,Winter 2025,Mar,Wednesday,8-10 AM,Staff D,11.4,15.4,Resolved on First Contact,No,No,5.0
10008,Admissions,Admission Decision,Walk-In,Graduate,Fall 2024,Oct,Wednesday,12-2 PM,Staff E,19.3,17.4,Resolved on First Contact,No,No,5.0
10009,Student Business Services,1098-T,Phone,Prospective,Spring 2025,May,Thursday,2-4 PM,Staff B,5.6,13.4,Escalated to Department,Yes,No,3.0
10010,Student Business Services,1098-T,Walk-In,Graduate,Fall 2024,Sep,Wednesday,12-2 PM,Staff B,16.0,22.1,Resolved on First Contact,No,No,5.0
10011,Financial Aid,Work-Study,Phone,Undergraduate,Spring 2025,Apr,Monday,2-4 PM,Staff A,4.0,10.8,Follow-Up Required,No,No,3.3
10012,General Inquiry,Hours/Location,Walk-In,Undergraduate,Spring 2025,Apr,Monday,2-4 PM,Staff E,15.6,10.8,Escalated to Department,Yes,No,4.0
10013,Admissions,Transfer Credits,Walk-In,Graduate,Summer 2025,Aug,Monday,2-4 PM,Staff B,10.5,7.7,Resolved on First Contact,No,No,4.8
10014,Financial Aid,Scholarship Inquiry,Walk-In,Graduate,Winter 2025,Jan,Tuesday,10-12 PM,Staff C,11.3,17.2,Resolved on First Contact,No,No,4.9
10015,Financial Aid,Scholarship Inquiry,Phone,Parent/Guardian,Winter 2025,Mar,Thursday,12-2 PM,Staff B,7.9,10.1,Resolved on First Contact,No,No,5.0
10016,Financial Aid,FAFSA Status,Walk-In,Graduate,Spring 2025,Apr,Thursday,12-2 PM,Staff C,19.5,20.1,Resolved on First Contact,No,No,4.1
